uid,groundtruth_index,expert_label
aprenfl-defects4j-Math-15-TBar-Patch_1163_932,aprenfl-defects4j-Math-15-kPAR-Patch_524_360,type-4
aprenfl-defects4j-Lang-43-TBar-Patch_368_183,dl4pc2-defects4j-Lang-43-Arja-DifferentFragPatches-37,not-clone
aprenfl-defects4j-Lang-43-TBar-Patch_368_183,dl4pc2-defects4j-Lang-43-Arja-DifferentFragPatches-50,not-clone
aprenfl-defects4j-Lang-43-TBar-Patch_368_183,drr-defects4j-Lang-43-Arja-patch2,not-clone
aprenfl-defects4j-Math-70-TBar-Patch_28_28,dl4pc2-defects4j-Math-70-Arja-99,type-1
aprenfl-defects4j-Math-70-TBar-Patch_28_28,dl4pc2-defects4j-Math-70-Arja-67,type-3
aprenfl-defects4j-Math-70-TBar-Patch_28_28,dl4pc2-defects4j-Math-70-Arja-87,type-3
aprenfl-defects4j-Math-70-TBar-Patch_28_28,dl4pc2-defects4j-Math-70-GenProg-37,type-3
aprenfl-defects4j-Closure-12-TBar-Patch_160_37,dl4pc2-defects4j-Closure-12-Kali-DifferentFilePatches-0,not-clone
aprenfl-defects4j-Closure-12-TBar-Patch_160_37,defectrepairing-defects4j-Closure-12-Nopol2017-Patch101,not-clone
aprenfl-defects4j-Closure-12-TBar-Patch_160_37,defects4j-Closure-12-developer,not-clone
aprenfl-defects4j-Lang-18-TBar-Patch_5849_3524,aprenfl-defects4j-Lang-18-kPAR-Patch_2058_1100,type-1
aprenfl-defects4j-Closure-107-TBar-Patch_356_164,wangicse-defects4j-Closure-107-SimFix-patch1,not-clone
aprenfl-defects4j-Lang-63-TBar-Patch_28_21,dl4pc2-defects4j-Lang-63-Arja-DifferentFragPatches-210,not-clone
aprenfl-defects4j-Math-62-TBar-Patch_261_142,aprenfl-defects4j-Math-62-kPAR-Patch_118_71,type-4
aprenfl-defects4j-Chart-3-TBar-Patch_440_242,dl4pc2-defects4j-Chart-3-Arja-DifferentFragPatches-46,type-1
aprenfl-defects4j-Chart-3-TBar-Patch_440_242,dl4pc2-defects4j-Chart-3-Arja-DifferentFragPatches-8,not-clone
aprenfl-defects4j-Chart-3-TBar-Patch_440_242,dl4pc2-defects4j-Chart-3-Arja-DifferentFragPatches-2,not-clone
aprenfl-defects4j-Chart-3-TBar-Patch_440_242,dl4pc2-defects4j-Chart-3-RSRepair-DifferentFragPatches-0,not-clone
aprenfl-defects4j-Chart-24-TBar-Patch_42_20,aprenfl-defects4j-Chart-24-FixMiner-Patch_77_25,type-4
aprenfl-defects4j-Lang-45-TBar-Patch_310_221,dl4pc2-defects4j-Lang-45-Arja-DifferentFragPatches-24,not-clone
aprenfl-defects4j-Math-63-TBar-Patch_611_159,aprenfl-defects4j-Math-63-FixMiner-Patch_4_4,not-clone
aprenfl-defects4j-Chart-9-TBar-Patch_497_311,dl4pc2-defects4j-Chart-9-Nopol-DifferentFragPatches-0,not-clone
aprenfl-defects4j-Closure-22-TBar-Patch_5_5,dl4pc2-defects4j-Closure-22-Arja-DifferentFragPatches-53,not-clone
aprenfl-defects4j-Chart-12-TBar-Patch_39_22,dl4pc2-defects4j-Chart-12-RSRepair-DifferentFilePatches-0,type-4
aprenfl-defects4j-Chart-12-TBar-Patch_39_22,aprenfl-defects4j-Chart-12-RSRepair-A-Patch_95_28,not-clone
aprenfl-defects4j-Chart-12-TBar-Patch_39_22,aprenfl-defects4j-Chart-12-SimFix-Patch_107_107,not-clone
aprenfl-defects4j-Lang-13-TBar-Patch_18_6,aprenfl-defects4j-Lang-13-RSRepair-A-Patch_165_66,not-clone
aprenfl-defects4j-Lang-44-TBar-Patch_4046_2567,dl4pc2-defects4j-Lang-44-Nopol-DifferentFragPatches-0,not-clone
aprenfl-defects4j-Math-79-TBar-Patch_293_124,aprenfl-defects4j-Math-79-FixMiner-Patch_357_100,type-1
aprenfl-defects4j-Lang-27-TBar-Patch_1259_919,dl4pc2-defects4j-Lang-27-Arja-DifferentFragPatches-53,not-clone
aprenfl-defects4j-Lang-27-TBar-Patch_1259_919,drr-defects4j-Lang-27-DeepRepair-patch1,not-clone
aprenfl-defects4j-Math-84-TBar-Patch_114_72,dl4pc2-defects4j-Math-84-Arja-DifferentFragPatches-22,not-clone
aprenfl-defects4j-Math-80-TBar-Patch_931_596,dl4pc2-defects4j-Math-80-Arja-DifferentFragPatches-542,not-clone
aprenfl-defects4j-Math-80-TBar-Patch_931_596,dl4pc2-defects4j-Math-80-Arja-DifferentFragPatches-508,not-clone
aprenfl-defects4j-Math-89-TBar-Patch_14_12,aprenfl-defects4j-Math-89-ACS-Patch_1_1,type-3
aprenfl-defects4j-Math-96-TBar-Patch_439_157,defects4j-Math-96-developer,type-4
aprenfl-defects4j-Math-75-TBar-Patch_3_1,aprenfl-defects4j-Math-75-FixMiner-Patch_7_4,type-1
aprenfl-defects4j-Lang-58-TBar-Patch_1789_1078,dl4pc2-defects4j-Lang-58-Arja-DifferentFragPatches-45,not-clone
aprenfl-defects4j-Lang-58-TBar-Patch_1789_1078,dl4pc2-defects4j-Lang-58-Arja-DifferentFragPatches-44,not-clone
aprenfl-defects4j-Lang-58-TBar-Patch_1789_1078,dl4pc2-defects4j-Lang-58-Arja-DifferentFragPatches-43,not-clone
aprenfl-defects4j-Closure-115-TBar-Patch_704_253,dl4pc2-defects4j-Closure-115-Arja-DifferentFragPatches-691,type-3
aprenfl-defects4j-Closure-115-TBar-Patch_704_253,defectrepairing-defects4j-Closure-115-Nopol2017-Patch137,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-154,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,drr-defects4j-Math-81-DeepRepair-patch1,not-clone
aprenfl-defects4j-Chart-11-TBar-Patch_102_60,aprenfl-defects4j-Chart-11-FixMiner-Patch_155_50,type-1
aprenfl-defects4j-Math-88-TBar-Patch_593_301,dl4pc2-defects4j-Math-88-Nopol-DifferentFragPatches-0,type-3
aprenfl-defects4j-Math-88-TBar-Patch_593_301,aprenfl-defects4j-Math-88-SimFix-Patch_4565_4565,not-clone
aprenfl-defects4j-Math-88-TBar-Patch_593_301,defectrepairing-defects4j-Math-88-Nopol2015-Patch74,not-clone
aprenfl-defects4j-Lang-59-TBar-Patch_1657_1032,dl4pc2-defects4j-Lang-59-Arja-DifferentFragPatches-12,type-3
aprenfl-defects4j-Lang-59-TBar-Patch_1657_1032,dl4pc2-defects4j-Lang-59-Arja-DifferentFragPatches-53,type-3
aprenfl-defects4j-Lang-59-TBar-Patch_1657_1032,dl4pc2-defects4j-Lang-59-Arja-DifferentFragPatches-41,type-3
aprenfl-defects4j-Lang-59-TBar-Patch_1657_1032,drr-defects4j-Lang-59-Arja-patch6,type-3
aprenfl-defects4j-Chart-14-TBar-Patch_2631_615,dl4pc2-defects4j-Chart-14-NPEFix-12,not-clone
aprenfl-defects4j-Chart-14-TBar-Patch_2631_615,dl4pc2-defects4j-Chart-14-NPEFix-15,not-clone
aprenfl-defects4j-Chart-14-TBar-Patch_974_207,dl4pc2-defects4j-Chart-14-NPEFix-12,not-clone
aprenfl-defects4j-Math-50-TBar-Patch_1_1,dl4pc2-defects4j-Math-50-Arja-102,type-3
aprenfl-defects4j-Math-50-TBar-Patch_1_1,dl4pc2-defects4j-Math-50-Arja-96,type-3
aprenfl-defects4j-Chart-26-TBar-Patch_5751_2399,defectrepairing-defects4j-Chart-26-Nopol2015-Patch19,not-clone
aprenfl-defects4j-Chart-26-TBar-Patch_5751_2399,drr-defects4j-Chart-26-Jaid-patch1,
aprenfl-defects4j-Lang-22-TBar-Patch_1806_847,dl4pc2-defects4j-Lang-22-Arja-DifferentFragPatches-53,type-3
aprenfl-defects4j-Lang-22-TBar-Patch_1806_847,dl4pc2-defects4j-Lang-22-Arja-90,type-3
aprenfl-defects4j-Lang-22-TBar-Patch_1806_847,drr-defects4j-Lang-22-DeepRepair-patch1,type-3
aprenfl-defects4j-Chart-19-TBar-Patch_68_59,dl4pc2-defects4j-Chart-19-Arja-DifferentFilePatches-21,not-clone
aprenfl-defects4j-Chart-19-TBar-Patch_68_59,aprenfl-defects4j-Chart-19-FixMiner-Patch_51_49,type-1
aprenfl-defects4j-Chart-19-TBar-Patch_68_59,aprenfl-defects4j-Chart-19-FixMiner-Patch_56_52,not-clone
aprenfl-defects4j-Chart-19-TBar-Patch_68_59,wangicse-defects4j-Chart-19-ACS-patch1,type-1
aprenfl-defects4j-Chart-19-TBar-Patch_143_118,dl4pc2-defects4j-Chart-19-Arja-DifferentFilePatches-21,not-clone
aprenfl-defects4j-Chart-19-TBar-Patch_143_118,aprenfl-defects4j-Chart-19-FixMiner-Patch_56_52,type-1
aprenfl-defects4j-Chart-19-TBar-Patch_143_118,wangicse-defects4j-Chart-19-ACS-patch1,type-2
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,dl4pc2-defects4j-Chart-25-RSRepair-DifferentFilePatches-8,not-clone
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,dl4pc2-defects4j-Chart-25-RSRepair-DifferentFilePatches-21,not-clone
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,dl4pc2-defects4j-Chart-25-RSRepair-DifferentFilePatches-19,not-clone
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,dl4pc2-defects4j-Chart-25-Arja-DifferentFragPatches-154,type-3
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,dl4pc2-defects4j-Chart-25-Arja-DifferentFilePatches-111,not-clone
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,dl4pc2-defects4j-Chart-25-Arja-DifferentFilePatches-61,not-clone
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,aprenfl-defects4j-Chart-25-AVATAR-Patch_18_12,type-1
aprenfl-defects4j-Math-6-TBar-Patch_5_2,aprenfl-defects4j-Math-6-SimFix-Patch_2_2,type-2
aprenfl-defects4j-Lang-51-TBar-Patch_180_129,dl4pc2-defects4j-Lang-51-Arja-DifferentFragPatches-128,type-3
aprenfl-defects4j-Math-5-TBar-Patch_2_2,dl4pc2-defects4j-Math-5-Arja-12,type-1
aprenfl-defects4j-Math-5-TBar-Patch_2_2,dl4pc2-defects4j-Math-5-Arja-DifferentFragPatches-8,type-3
aprenfl-defects4j-Math-5-TBar-Patch_2_2,dl4pc2-defects4j-Math-5-Arja-DifferentFragPatches-15,type-3
aprenfl-defects4j-Math-5-TBar-Patch_2_2,dl4pc2-defects4j-Math-5-Arja-DifferentFragPatches-6,type-3
aprenfl-defects4j-Math-5-TBar-Patch_2_2,drr-defects4j-Math-5-Arja-patch1,type-1
aprenfl-defects4j-Math-5-TBar-Patch_2_2,wangicse-defects4j-Math-5-Cardumen-patch1,not-clone
aprenfl-defects4j-Closure-62-TBar-Patch_43_31,dl4pc2-defects4j-Closure-62-Kali-DifferentFragPatches-0,type-3
aprenfl-defects4j-Lang-7-TBar-Patch_1504_1083,dl4pc2-defects4j-Lang-7-Arja-DifferentFragPatches-13,type-3
aprenfl-defects4j-Lang-7-TBar-Patch_1504_1083,dl4pc2-defects4j-Lang-7-Arja-DifferentFragPatches-8,type-3
aprenfl-defects4j-Lang-7-TBar-Patch_1504_1083,dl4pc2-defects4j-Lang-7-Arja-DifferentFragPatches-108,type-3
aprenfl-defects4j-Closure-66-TBar-Patch_9_6,aprenfl-defects4j-Closure-66-AVATAR-Patch_15_3,type-1
aprenfl-defects4j-Closure-66-TBar-Patch_9_6,defectrepairing-defects4j-Closure-66-Nopol2017-Patch128,not-clone
aprenfl-defects4j-Lang-33-TBar-Patch_47_28,aprenfl-defects4j-Lang-33-SimFix-Patch_43_43,type-3
aprenfl-defects4j-Lang-20-TBar-Patch_336_182,aprenfl-defects4j-Lang-20-kPAR-Patch_282_124,type-3
aprenfl-defects4j-Lang-57-TBar-Patch_44_17,aprenfl-defects4j-Lang-57-FixMiner-Patch_33_11,type-3
aprenfl-defects4j-Math-57-TBar-Patch_16_7,aprenfl-defects4j-Math-57-FixMiner-Patch_10_4,type-1
aprenfl-defects4j-Math-57-TBar-Patch_16_7,defectrepairing-defects4j-Math-57-Nopol2015-Patch48,not-clone
aprenfl-defects4j-Lang-39-TBar-Patch_1350_1039,dl4pc2-defects4j-Lang-39-Arja-DifferentFragPatches-63,type-3
aprenfl-defects4j-Lang-39-TBar-Patch_1350_1039,defectrepairing-defects4j-Lang-39-ACS-Patch193,not-clone
aprenfl-defects4j-Math-65-TBar-Patch_137_80,drr-defects4j-Math-65-CapGen-patch1,type-3
aprenfl-defects4j-Chart-15-TBar-Patch_220_119,dl4pc2-defects4j-Chart-15-Kali-DifferentFilePatches-0,type-3
aprenfl-defects4j-Chart-15-TBar-Patch_220_119,dl4pc2-defects4j-Chart-15-Arja-DifferentFilePatches-329,type-3
aprenfl-defects4j-Chart-15-TBar-Patch_220_119,dl4pc2-defects4j-Chart-15-Arja-DifferentFilePatches-6,not-clone
aprenfl-defects4j-Chart-15-TBar-Patch_220_119,dl4pc2-defects4j-Chart-15-Dynamoth-DifferentFilePatches-0,not-clone
aprenfl-defects4j-Chart-15-TBar-Patch_220_119,aprenfl-defects4j-Chart-15-AVATAR-Patch_253_51,type-1
aprenfl-defects4j-Lang-41-TBar-Patch_2958_1870,aprenfl-defects4j-Lang-41-kPAR-Patch_2305_990,type-1
aprenfl-defects4j-Chart-4-TBar-Patch_2689_1263,dl4pc2-defects4j-Chart-4-Nopol-DifferentFragPatches-0,not-clone
aprenfl-defects4j-Closure-133-TBar-Patch_433_171,dl4pc2-defects4j-Closure-133-Arja-DifferentFragPatches-292,not-clone
aprenfl-defects4j-Closure-133-TBar-Patch_433_171,defectrepairing-defects4j-Closure-133-Nopol2017-Patch149,not-clone
aprenfl-defects4j-Closure-133-TBar-Patch_433_171,defects4j-Closure-133-developer,not-clone
